Encuestador;Fecha;Muestra;PP;PSOE;UP;C's;ERC-CATSI;DL;EAJ-PNV;PODEMOS*;IU
MyWord;14/3/16;1004;27.0;20.9;;18.0;;;;15.9;7.1
NC;11/3/16;2300;29.3;22.0;;15.1;2.4;1.8;1.2;19.8;4.4
GAD3;10/3/16;800;28.2;24.2;;14.1;2.9;1.8;1.2;18.7;3.2
Sondaxe;9/3/16;1002;28.6;22.0;;15.6;2.5;2.1;1.2;19.1;4.2
Metroscopia;9/3/16;1200;26.0;23.1;;19.5;;;;16.8;5.4
SimpleLogica;9/3/16;1206;26.2;21.6;;17.1;;;;18.3;7.9
GESOP;8/3/16;1000;26.4;21.9;;17.8;2.4;1.5;;18.1;5.9
Celeste-Tel;5/3/16;1100;28.3;22.4;;15.6;2.5;1.9;1.1;19.4;4.6
NC;4/3/16;1400;29.2;21.8;;14.9;2.4;1.9;1.2;20.2;4.2
DYM;23/2/16;1071;25.6;22.1;;17.6;;;;19.8;5.4
Invymark;22/2/16;1200;26.8;20.3;;15.8;;;;22.1;4.5
NC;18/2/16;1400;28.9;21.4;;14.2;2.5;2.0;1.2;21.1;3.4
SigmaDos;18/2/16;1000;27.8;23.1;;15.3;2.4;2.1;1.1;18.8;4.0
GIPEyOP;16/2/16;1960;27.1;22.3;;14.9;2.4;2.4;1.2;22.3;3.2
GAD3;11/2/16;800;27.9;20.8;;14.9;2.6;1.9;1.4;21.4;3.3
SimpleLogica;5/2/16;1048;26.9;21.7;;18.9;;;;20.3;5.1
Celeste-Tel;5/2/16;1100;28.3;22.2;;15.0;2.6;2.0;1.2;20.2;3.6
Metroscopia;4/2/16;1000;24.0;23.3;;18.5;;;;19.9;4.3
NC;21/1/16;1900;30.7;21.1;;12.0;2.4;2.2;1.2;21.9;3.4
GAD3;21/1/16;802;30.1;21.3;;13.4;2.4;2.1;1.1;20.0;2.9
MyWord;19/1/16;1000;28.0;21.3;;14.4;;;;20.3;4.7
Celeste-Tel;15/1/16;1100;29.9;21.7;;12.5;2.5;2.1;1.1;21.9;3.3
Metroscopia;4/1/16;1200;29.0;21.1;;16.6;;;;22.5;3.2
SimpleLogica;12/1/16;1050;30.0;20.4;;14.7;;;;21.3;4.8
IMOP;11/1/16;1000;31.4;23.5;;11.8;2.3;1.8;1.2;19.5;3.4
CIS;11/1/16;2496;28.8;20.5;;13.3;2.8;1.7;1.3;21.9;3.7
Elecciones;20/12/15;25349824;28.7;22.0;;13.9;2.4;2.3;1.2;20.7;3.7
